id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN022,i need a simple italian dish with eggs spinach and cheese,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""must_use_specific: eggs, spinach, cheese"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN023,Eggs spinach and cheese dish under 30 mins,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""must_use_specific: eggs, spinach, cheese"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN024,easy Italian recipe with eggs and spinach,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""must_use_specific: eggs, spinach, cheese"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN025,Whatcha got for a 30 min eggs and cheese dinner? 🤔,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""must_use_specific: eggs, spinach, cheese"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN026,i need a vegetarian meal that’s Mediterranean and can be made in around 30-60 mins,"{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN027,Can you suggest a good vegetarian recipe focusing on Mediterranean flavors? I have some pantry staples on hand.,"{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN028,"Looking for a vegitarian recipe that takes moderate effort and is mediterranean style, any ideas?","{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN029,whats a tasty meditteranean vegetarian dish i can make with basic pantry items in an hour?,"{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN030,plz help me find a vegetarian meal that's moderately tricky to make and fits under 1 hour! 🙏 Mediterranean cuisine would be great,"{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN031,"hey, do you have a high-protein mexican recipe using quinoa, black beans, and avocados that I can whip up in under 30 mins?","{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, avocados"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN032,"Need a quick recipe for a mexican dish with quinoa, black beans, and avos that's high in protein","{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, avocados"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN033,"any high protein meal ideas? i have quinoa, black beans, and avocados and want to make something quick and mexican-style","{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, avocados"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN034,"i'm looking for a good high-protein meal that uses quinoa, black beans, and avocados, can you help me find something easy?","{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, avocados"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN035,quick mexican recipe with quinoa black beans and avocados pls! need that protein! 🥑🍳,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, avocados"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN036,easy curry with coconut milk and veggies in under 30 mins,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, curry paste, vegetables"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN037,need a nut free recipe w/ coconut milk currypaste veggies,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, curry paste, vegetables"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN038,quick recipe plz must use coconut milk and curry paste,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, curry paste, vegetables"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN039,whats a simple meal i can make using veggies and coconut milk,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, curry paste, vegetables"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN040,need nut-free dish using coconut milk and curry fast! 😋,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, curry paste, vegetables"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN041,Looking for a soy-free advanced recipe I can take my time with 🤔 Like any cuisine that's complex and makes a statement,"{""DietaryNeedsOrRestrictions"":""soy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN042,"i need a soy-free dish that is sophisticated and takes a while to prepare, no specific ingredients in mind, but it should be challenging","{""DietaryNeedsOrRestrictions"":""soy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN043,HELP! Need an advanced recipe that is SOY FREE with no specific ingredients in any cuisine. I want to put in the effort and make something amazing!,"{""DietaryNeedsOrRestrictions"":""soy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN044,"soy free and really complex recipe ideas please... flexible time, any cuisine is cool, i just want something that takes time and skill","{""DietaryNeedsOrRestrictions"":""soy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN045,"Can you suggest a soy-free, high-effort recipe from ANY cuisine that I can spend all day making? I have no specific ingredients but want it to be complex and impressive!","{""DietaryNeedsOrRestrictions"":""soy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN046,recipe for salmon asparagus lemon quick pls,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, asparagus, lemon"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN047,Looking for a quick salmon dish with aspargus,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, asparagus, lemon"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN048,need easy salmon and asparagus recipe under 30 min,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, asparagus, lemon"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN049,whats a good 30min recipe using Salmon Asparagus & lemon???,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, asparagus, lemon"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN050,quick salmon asparagus dish - any ideas? 🍋,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, asparagus, lemon"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN051,can u suggest an easy keto recipe using stuff from my pantry,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: italian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN052,What’s a beginner-friendly keto dish I can whip up without italian flavors?,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: italian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN053,need a simple keto recipe that doesn’t involve italian cuisine,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: italian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN054,looking for an easy low-effort keto meal i can make with pantry ingredients,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: italian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN055,"need some ideas for a keto dinner nice and easy, no italian plz! 🍽️","{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: italian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN056,need a low carb mexican dish quick,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN057,looking for easy low-carb mexican recipes,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN058,what's an easy low carb meal I can make with pantry stuff?,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN059,i need a low carb Mex meal for dinner in 45 mins,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN060,simple low-carb taco recipe plz! 🌮,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN061,"hi, i'm looking for a low-sodium Japanese recipe that has a moderate effort level. I have flexible time, so just suggest something delicious!","{""DietaryNeedsOrRestrictions"":""low-sodium"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN062,"need a recipe for low sodium japanese food, i’m kinda experienced but not a pro, just want something tasty and not too easy","{""DietaryNeedsOrRestrictions"":""low-sodium"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN063,Can you help me find a nice low-sodium Japanese dish? I’m willing to put in moderate effort and I don’t have any specific ingredients,"{""DietaryNeedsOrRestrictions"":""low-sodium"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN064,Looking for a detailed EASY low-sodium Japanese recipe. i wanna try something intermediate and i have all the time in the world!,"{""DietaryNeedsOrRestrictions"":""low-sodium"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN065,pls suggest a low sodium Japanese recipe for dinner tonight! I’m ready to put a bit of effort into it but keep it flexible on time 😄,"{""DietaryNeedsOrRestrictions"":""low-sodium"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN066,Can you suggest an advanced gluten-free Indian recipe that I can prepare in about 45 minutes?,"{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN067,looking for a really complex Indian dish that i can make gluten free within an hour,"{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN068,I Need a detailed gluten-free recipe from Indian cuisine that’s high effort and takes 30 to 60 minutes to make!,"{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN069,What’s a challenging Indian gluten-free recipe that I can whip up in 30-60 mins? 🤔,"{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN070,"pls help me with a complex gluten-free Indian recipe taking around 45 mins, thx!","{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
